"label","translation","comment"
"List of data.frame...","Lista de data.frame...",""
"Max:","Máximo:","Automatically translated"
"Mean:","Significar:","Automatically translated"
"Method:","Método:","Automatically translated"
"Min:","Mínimo:","Automatically translated"
"Missing values characters:","Caracteres de valores faltantes:","Automatically translated"
"Missing:","Desaparecido:","Automatically translated"
"Most Common:","Más común:","Automatically translated"
"New column name cannot be empty","El nombre de la nueva columna no puede estar vacío","Automatically translated"
"New column name:","Nuevo nombre de columna:","Automatically translated"
"No","No",""
"No","No",""
"No data selected!","No hay datos seleccionados!",""
"No data to display.","No hay datos para mostrar.",""
"No data.frame here...","No hay data.frame aquí...",""
"No file selected","No hay archivo seleccionado",""
"No file selected:","No hay archivo seleccionado :",""
"Not a data.frame","No es un marco de datos","Automatically translated"
"Nothing pasted yet!","Aún no se ha pegado nada!",""
"Number of breaks:","Número de descansos:","Automatically translated"
"Number of rows:","Número de filas :",""
"OK","Aceptar",""
"Ooops","Ups",""
"Paste data here:","Pegar datos aquí :",""
"Please copy and paste some data in the dialog box above.","Por favor, copie y pegue algún dato en la caja de diálogo anterior.",""
"Please fill in the required fields","Por favor llene los campos requeridos",""
"Please paste a valid GoogleSheet link in the dialog box above.","Por favor, pegue un enlace válido a un archivo de GoogleSheet en la caja de diálogo anterior.",""
"Please paste a valid link in the dialog box above.","Pegue un enlace válido en el cuadro de diálogo de arriba.","Automatically translated"
"Registered","Registrado",""
"Required field","Campo requerido",""
"Row has been saved","Se ha guardado la fila",""
"Row was not deleted","La fila no fue eliminada",""
"Rows to skip before reading data:","Filas que se deben omitir antes de leer los datos:","Automatically translated"
"Sample data by :","Datos de muestra por:","Automatically translated"
"Save","Ahorrar",""
"Select","Seleccione",""
"Select a data.frame:","Seleccionar un data.frame :",""
"Select an environment in which to search:","Seleccionar un entorno en el que buscar :",""
"Select environment","Seleccionar entorno",""
"Select sheet to import:","Seleccionar hoja para importar :",""
"Some operations are not allowed","Algunas operaciones no están permitidas.","Automatically translated"
"Something went wrong...","Algo salió mal...",""
"Sort count","Ordenar recuento","Automatically translated"
"The URL that appear in your browser, in that case the current sheet will be read","La URL que aparece en su navegador, en ese caso, la hoja actual se leerá",""
"The row has been deleted","La fila ha sido eliminada",""
"The row wasn't added to the data","La fila no se agregó a los datos.","Automatically translated"
"URL","URL","Automatically translated"
"Unable to add the row, contact the platform administrator","No se puede agregar la fila, comuníquese con el administrador de la plataforma",""
"Unable to delete the row, contact platform administrator","No se puede eliminar la fila, comuníquese con el administrador de la plataforma",""
"Unable to modify the item, contact the platform administrator","No se puede modificar el elemento, comuníquese con el administrador de la plataforma",""
"Unique values:","Valores únicos:","Automatically translated"
"Unique:","Único:","Automatically translated"
"Update","Actualizar",""
"Update & select variables","Actualizar y seleccionar variables","Automatically translated"
"Update factor variable","Variable de factor de actualización","Automatically translated"
"Update levels of a factor","Actualizar niveles de un factor","Automatically translated"
"Update row","Actualizar fila",""
"Upload a file:","Subir un archivo :",""
"Use a data.frame from your environment or from the environment of a package.","Usar un data.frame de su entorno o del entorno de un paquete.",""
"Valid number of columns","Número válido de columnas","Automatically translated"
"Valid number of rows","Número válido de filas","Automatically translated"
"Validate","Validar",""
"Validation:","Validación:","Automatically translated"
"Variable to cut:","Variable a cortar:","Automatically translated"
"View","Visualizar",""
"Warning","Advertencia","Automatically translated"
"Yes","Sí",""
"Yes","Sí",""
"You can either use:","Puede usar:",""
"You can import %s files","Puede importar %s archivos",""
"You can import from flat table format supported by","Puede importar desde el formato de tabla plana compatible con","Automatically translated"
"click to see data","click para ver datos","Automatically translated"
"data has %s obs. of %s variables.","Los datos tienen %s obs. de %s variables.",""
"if several use a comma ',' to separate them","si son varios use una coma ',' para separarlos","Automatically translated"
"lines, i.e.","líneas, es decir","Automatically translated"
"number of rows","número de filas","Automatically translated"
"proportion of rows","proporción de filas","Automatically translated"
"rows","filas","Automatically translated"
"then enter an expression before clicking on the button above to validate or on ","luego ingrese una expresión antes de hacer clic en el botón de arriba para validar o en","Automatically translated"
"to delete it.","para borrarlo.","Automatically translated"
"Sort by count","Ordenar por conteo","Automatically translated"
"Sort by levels","Ordenar por niveles","Automatically translated"
