"label","translation","comment"
"Not a data.frame","Kein Datenrahmen","Automatically translated"
"Nothing pasted yet!","Noch nichts eingefügt!",""
"Number of breaks:","Anzahl Pausen:","Automatically translated"
"Number of rows:","Anzahl Reihen :",""
"OK","OK",""
"Ooops","Ooops",""
"Paste data here:","Daten hier einfügen:",""
"Please copy and paste some data in the dialog box above.","Bitte Daten in obige Dialog-Box Kopieren und Einfügen.",""
"Please fill in the required fields","Bitte füllen Sie die erforderlichen Felder aus",""
"Please paste a valid GoogleSheet link in the dialog box above.","Bitte gültigen GoogleSheet Link in die Dialog-Box oben einfügen .",""
"Please paste a valid link in the dialog box above.","Bitte fügen Sie einen gültigen Link in das Dialogfeld oben ein.","Automatically translated"
"Registered","Eingetragen",""
"Required field","Pflichtfeld",""
"Row has been saved","Zeile wurde gespeichert",""
"Row was not deleted","Zeile wurde nicht gelöscht",""
"Rows to skip before reading data:","Vor dem Lesen der Daten zu überspringende Zeilen:","Automatically translated"
"Sample data by :","Beispieldaten von:","Automatically translated"
"Save","Speichern",""
"Select","Auswählen",""
"Select a data.frame:","Daten-Tabelle auswählen:",""
"Select an environment in which to search:","Wählen Sie eine Umgebung aus, in der gesucht werden soll:",""
"Select environment","Umgebung auswählen",""
"Select sheet to import:","Arbeitsblatt zum Importieren auswählen:",""
"Some operations are not allowed","Einige Vorgänge sind nicht zulässig","Automatically translated"
"Something went wrong...","Etwas ist schief gelaufen...",""
"Sort count","Anzahl sortieren","Automatically translated"
"The URL that appear in your browser, in that case the current sheet will be read","Die URL die im Browser aufscheint, in diesem Fall wird das aktuielle Arbeitsblatt eingelesen",""
"The row has been deleted","Die Zeile wurde gelöscht",""
"The row wasn't added to the data","Die Zeile wurde nicht zu den Daten hinzugefügt","Automatically translated"
"URL","URL","Automatically translated"
"Unable to add the row, contact the platform administrator","Die Zeile kann nicht hinzugefügt werden. Wenden Sie sich an den Plattformadministrator",""
"Unable to delete the row, contact platform administrator","Die Zeile kann nicht gelöscht werden. Wenden Sie sich an den Plattformadministrator",""
"Unable to modify the item, contact the platform administrator","Das Element kann nicht geändert werden. Wenden Sie sich an den Plattformadministrator",""
"Unique values:","Einzigartige Werte:","Automatically translated"
"Unique:","Einzigartig:","Automatically translated"
"Update","Aktualisieren",""
"Update & select variables","Variablen aktualisieren & auswählen",""
"Update factor variable","Faktorvariable aktualisieren","Automatically translated"
"Update levels of a factor","Aktualisieren Sie die Ebenen eines Faktors","Automatically translated"
"Update row","Zeile aktualisieren",""
"Upload a file:","Datei hochladen :",""
"Use a data.frame from your environment or from the environment of a package.","Benutze eine Daten-Tabelle aus der eigenen Umgebung oder der Umgebung eines Pakets.",""
"Valid number of columns","Gültige Anzahl von Spalten","Automatically translated"
"Valid number of rows","Gültige Anzahl von Zeilen","Automatically translated"
"Validate","Validieren",""
"Validation:","Validierung :",""
"Variable to cut:","Variable zum Schneiden:","Automatically translated"
"View","Ansehen",""
"Warning","Warnung","Automatically translated"
"Yes","Ja",""
"You can either use:","Sie können entweder verwenden :",""
"You can import %s files","Sie können %s Datein importieren",""
"You can import from flat table format supported by","Sie können aus dem von unterstützten Flat-Table-Format importieren","Automatically translated"
"click to see data","klicken, um Daten anzuzeigen",""
"data has %s obs. of %s variables.","Daten haben %s Einträge und %s Variablen.",""
"if several use a comma ',' to separate them","Bei mehreren verwenden Sie zur Trennung ein Komma „,“.","Automatically translated"
"lines, i.e.","Linien, d.h.","Automatically translated"
"number of rows","Anzahl der Reihen","Automatically translated"
"proportion of rows","Anteil der Reihen","Automatically translated"
"rows","Reihen","Automatically translated"
"then enter an expression before clicking on the button above to validate or on ","Geben Sie dann einen Ausdruck ein, bevor Sie zum Bestätigen oder Einschalten auf die Schaltfläche oben klicken","Automatically translated"
"to delete it.","um es zu löschen.","Automatically translated"
"Sort by count","Nach Anzahl sortieren","Automatically translated"
"Sort by levels","Nach Ebenen sortieren","Automatically translated"
