"label","translation","comment"
"Update factor variable","Variable de facteur de mise à jour","Automatically translated"
"Update levels of a factor","Mettre à jour les niveaux d'un facteur","Automatically translated"
"Update row","Mettre à jour la ligne",""
"Upload a file:","Charger un fichier :",""
"Use a data.frame from your environment or from the environment of a package.","Utiliser un tableau de données de votre environnement ou de celui d'un paquet.",""
"Valid number of columns","Nombre de colonnes valide","Automatically translated"
"Valid number of rows","Nombre de lignes valide","Automatically translated"
"Validate","Validation",""
"Validation:","Validation :",""
"Variable to cut:","Variable à couper :","Automatically translated"
"View","Affichage",""
"Warning","Avertissement","Automatically translated"
"Yes","Oui",""
"You can either use:","Vous pouvez utiliser au choix :",""
"You can import %s files","Vous pouvez importer des fichers %s",""
"You can import from flat table format supported by","Vous pouvez importer à partir du format de tableau plat pris en charge par","Automatically translated"
"click to see data","cliquez pour afficher les données",""
"data has %s obs. of %s variables.","les données ont %s observations et %s colonnes.",""
"if several use a comma ',' to separate them","si plusieurs utilisent une virgule ',' pour les séparer","Automatically translated"
"lines, i.e.","lignes, c'est-à-dire","Automatically translated"
"number of rows","Nombre de lignes",""
"proportion of rows","Proportion de lignes",""
"rows","lignes","Automatically translated"
"then enter an expression before clicking on the button above to validate or on ","puis saisissez une expression avant de cliquer sur le bouton ci-dessus pour valider ou sur","Automatically translated"
"to delete it.","pour le supprimer.","Automatically translated"
"Sort by count","Trier par nombre","Automatically translated"
"Sort by levels","Trier par niveaux","Automatically translated"
