"label","translation","comment"
"Unable to add the row, contact the platform administrator","Não é possível adicionar a linha, entre em contato com o administrador da plataforma",""
"Unable to delete the row, contact platform administrator","Não é possível excluir a linha, entre em contato com o administrador da plataforma",""
"Unable to modify the item, contact the platform administrator","Não é possível modificar o item, entre em contato com o administrador da plataforma",""
"Unique values:","Valores únicos:","Automacally translated"
"Unique:","Exclusivo:","Automacally translated"
"Update","Modifique",""
"Update & select variables","Carregue & selecione variáveis",""
"Update factor variable","Variável de fator de atualização","Automacally translated"
"Update levels of a factor","Atualizar níveis de um fator","Automacally translated"
"Update row","Atualizar linha",""
"Upload a file:","Carregue um arquivo:",""
"Use a data.frame from your environment or from the environment of a package.","Use um data.frame do seu ambiente local ou do ambiente de um pacote.",""
"Valid number of columns","Número válido de colunas","Automacally translated"
"Valid number of rows","Número válido de linhas","Automacally translated"
"Validate","Validação",""
"Validation:","Validação:",""
"Variable to cut:","Variável para cortar:","Automacally translated"
"View","Visualizar",""
"Warning","Aviso","Automacally translated"
"Yes","Sim",""
"You can either use:","Você pode usar:",""
"You can import %s files","Você pode importar %s",""
"You can import from flat table format supported by","Você pode importar do formato de tabela plana suportado por","Automacally translated"
"click to see data","clique para visualizar os dados",""
"data has %s obs. of %s variables.","dados possuem %s observações de %s variáveis.",""
"if several use a comma ',' to separate them","se vários usarem uma vírgula ',' para separá-los","Automacally translated"
"lines, i.e.","linhas, ou seja,","Automacally translated"
"rows","linhas","Automacally translated"
"then enter an expression before clicking on the button above to validate or on ","em seguida, insira uma expressão antes de clicar no botão acima para validar ou em","Automacally translated"
"to delete it.","para excluí-lo.","Automacally translated"
"number of rows","numero de linhas","Automacally translated"
"proportion of rows","proporção de linhas","Automacally translated"
