"label","translation","comment"
"Failed","Неуспех",""
"First five rows are shown below:","Првите пет реда се прикажани подолу:",""
"Googlesheets","Googlesheets",""
"Group calculation by:","Групна пресметка според:","Automatically translated"
"Help","Помош",""
"How to import data?","Како да се увезат податоците?",""
"Import","Увези",""
"Import Google Spreadsheet","Увезете GoogleSheet",""
"Import Url","Увезете УРЛ","Automatically translated"
"Import a dataset from an environment","Увезете податочен сет од околината",""
"Import a file","Внесете документ",""
"Import data","Внесете податоци",""
"Imported data","Увезени податоци","Automatically translated"
"Include lowest value","Вклучете ја најниската вредност","Automatically translated"
"Information","Информации",""
"Item has been modified","Ставката е изменета",""
"Levels","Нивоа","Automatically translated"
"List of data.frame...","Список на табели со податоци",""
"Max:","Макс:","Automatically translated"
"Mean:","Средно:","Automatically translated"
"Method:","Метод:","Automatically translated"
"Min:","Мин:","Automatically translated"
"Missing values characters:","Недостасуваат знаци на вредности:","Automatically translated"
"Missing:","Недостасува:","Automatically translated"
"Most Common:","Најчесто:","Automatically translated"
"New column name cannot be empty","Името на новата колона не може да биде празно","Automatically translated"
"New column name:","Ново име на колона:","Automatically translated"
"No","бр",""
"No data selected!","Нема ниту еден избран податок",""
"No data to display.","Нема податоци за приказ.",""
"No data.frame here...","Тука нема податоци...",""
"No file selected","Ниту еден документ не е избран",""
"No file selected:","Ниту еден документ не е избран",""
"Not a data.frame","Не е податок.рамка","Automatically translated"
"Nothing pasted yet!","Ништо до сега не е залепено!",""
"Number of breaks:","Број на паузи:","Automatically translated"
"Number of rows:","Број на редови:",""
"OK","Во ред",""
"Ooops","Упс",""
"Paste data here:","Залепете ги вашите податоци тука:",""
"Please copy and paste some data in the dialog box above.","Ве молиме копирајте и залепете некои податоци во прозорчето за дијалог подолу",""
"Please fill in the required fields","Ве молиме пополнете ги бараните полиња",""
"Please paste a valid GoogleSheet link in the dialog box above.","Ве молиме залепете валидна врска до GoogleSheet во прозорчето подолу.",""
"Please paste a valid link in the dialog box above.","Ве молиме залепете валидна врска во полето за дијалог погоре.","Automatically translated"
"Registered","Регистриран",""
"Required field","задолжително поле",""
"Row has been saved","Редот е зачуван",""
"Row was not deleted","Редот не беше избришан",""
"Rows to skip before reading data:","Редови што треба да се прескокнат пред да се прочитаат податоците:","Automatically translated"
"Sample data by :","Примерок на податоци од:","Automatically translated"
"Save","Зачувај",""
"Select","изберете",""
"Select a data.frame:","Изберете data.frame",""
"Select an environment in which to search:","Изберете околина за пребарување",""
"Select environment","Изберете околина",""
"Select sheet to import:","Изберете лист за да увезете",""
"Some operations are not allowed","Некои операции не се дозволени","Automatically translated"
"Something went wrong...","Тука нема податоци...",""
"Sort count","Броење сортирање","Automatically translated"
"The URL that appear in your browser, in that case the current sheet will be read","URL коешто се појавува во вашиот пребарарувач, во овој случај првата страна ќе биде прочитана",""
"The row has been deleted","Редот е избришан",""
"The row wasn't added to the data","Редот не беше додаден на податоците","Automatically translated"
"URL","URL","Automatically translated"
"Unable to add the row, contact the platform administrator","Не може да се додаде редот, контактирајте со администраторот на платформата",""
"Unable to delete the row, contact platform administrator","Не може да се избрише редот, контактирајте со администраторот на платформата",""
"Unable to modify the item, contact the platform administrator","Не може да се измени ставката, контактирајте со администраторот на платформата",""
"Unique values:","Единствени вредности:","Automatically translated"
"Unique:","Уникатно:","Automatically translated"
"Update","Ажурирај",""
"Update & select variables","Ажурирај и одбери променливи",""
"Update factor variable","Ажурирајте ја променливата на факторот","Automatically translated"
"Update levels of a factor","Ажурирајте ги нивоата на фактор","Automatically translated"
"Update row","Ажурирајте го редот",""
"Upload a file:","Прикачете документ",""
"Use a data.frame from your environment or from the environment of a package.","Користете data.frame од твојата околина или од пакет",""
"Valid number of columns","Валиден број на колони","Automatically translated"
"Valid number of rows","Валиден број на редови","Automatically translated"
"Validate","Провери",""
"Validation:","Проверка:",""
"Variable to cut:","Променлива за сечење:","Automatically translated"
"View","Прегледај",""
"Warning","Предупредување","Automatically translated"
"Yes","Да",""
"You can either use:","Можете да користите нешто од ова:",""
"You can import %s files","Можете да увезувате документи %s",""
"You can import from flat table format supported by","Можете да увезете од формат на рамна табела поддржан од","Automatically translated"
"click to see data","Притиснете тука за да прикачите податоци",""
"data has %s obs. of %s variables.","Податоците имаат % обсерваци и % променливи",""
"if several use a comma ',' to separate them","ако неколку користат запирка ',' за да ги разделат","Automatically translated"
"lines, i.e.","линии, т.е.","Automatically translated"
"number of rows","број на редови","Automatically translated"
"proportion of rows","пропорција на редови","Automatically translated"
"rows","редови","Automatically translated"
"then enter an expression before clicking on the button above to validate or on ","потоа внесете израз пред да кликнете на копчето погоре за да потврдите или да го вклучите","Automatically translated"
"to delete it.","да го избришете.","Automatically translated"
"Sort by count","Подреди по број","Automatically translated"
"Sort by levels","Подреди по нивоа","Automatically translated"
